iter	RMSE
0	13.86200692
1	13.40660836
2	12.97926747
3	12.58160485
4	12.20778997
5	11.86091532
6	11.53490897
7	11.23203597
8	10.95185361
9	10.69102209
10	10.4492469
11	10.22453756
12	10.01623997
13	9.81794226
14	9.637697003
15	9.467347316
16	9.313030736
17	9.170424494
18	9.039253017
19	8.916828037
20	8.805445723
21	8.701673661
22	8.606239001
23	8.519408529
24	8.438258404
25	8.364783999
26	8.295654398
27	8.230505916
28	8.170061103
29	8.115959825
30	8.062779613
31	8.014656505
32	7.970149415
33	7.929355694
34	7.892920988
35	7.857223141
36	7.825402361
37	7.792543294
38	7.765630386
39	7.733684391
40	7.708065603
41	7.678234339
42	7.652234759
43	7.628373523
44	7.607156704
45	7.583426826
46	7.564838474
47	7.549124934
48	7.532274605
49	7.516416199
50	7.500779348
51	7.485945936
52	7.471474009
53	7.458241776
54	7.445156214
55	7.433587155
56	7.420531598
57	7.407716882
58	7.39533945
59	7.383998746
60	7.373628262
61	7.364612528
62	7.353507625
63	7.346114093
64	7.338187279
65	7.328429382
66	7.320742734
67	7.31120627
68	7.301190458
69	7.293472128
70	7.284326384
71	7.276458438
72	7.266836022
73	7.260233011
74	7.252751646
75	7.246437208
76	7.238990352
77	7.23223358
78	7.22536062
79	7.219822516
80	7.211052124
81	7.206263398
82	7.196927274
83	7.191812244
84	7.187429614
85	7.180135813
86	7.175968914
87	7.170503071
88	7.16711513
89	7.161275079
90	7.156850982
91	7.151256852
92	7.147274645
93	7.141463372
94	7.136415092
95	7.131674738
96	7.127670502
97	7.122574936
98	7.118423661
99	7.112538648
100	7.107396967
101	7.103751003
102	7.100124078
103	7.094641372
104	7.088012307
105	7.083473077
106	7.076597976
107	7.071691429
108	7.065036513
109	7.062045575
110	7.058630383
111	7.052145893
112	7.045774544
113	7.037268925
114	7.031125708
115	7.025350884
116	7.019550509
117	7.016633408
118	7.011761158
119	7.005857523
120	7.001030718
121	6.997064631
122	6.992607185
123	6.988205002
124	6.98297495
125	6.977827849
126	6.974388542
127	6.969493443
128	6.965833139
129	6.960141255
130	6.956120475
131	6.954084243
132	6.949673999
133	6.94580386
134	6.94188183
135	6.93763711
136	6.933376385
137	6.927304964
138	6.92340184
139	6.916902346
140	6.910728698
141	6.908395179
142	6.90470509
143	6.897588026
144	6.893974581
145	6.89046215
146	6.886648415
147	6.884481747
148	6.882842604
149	6.878988086
150	6.874719146
151	6.870738569
152	6.867015683
153	6.863498928
154	6.860186732
155	6.854401045
156	6.848282973
157	6.843155345
158	6.839962335
159	6.836583445
160	6.832684468
161	6.825357705
162	6.823208801
163	6.820765909
164	6.81508097
165	6.809883055
166	6.806248266
167	6.802349612
168	6.797960989
169	6.790956797
170	6.786119303
171	6.780099184
172	6.775932442
173	6.774218619
174	6.767624271
175	6.762192374
176	6.759506206
177	6.75498487
178	6.75138894
179	6.744413148
180	6.742187045
181	6.737325647
182	6.731910883
183	6.728038583
