iter	Passed	Remaining
0	1227	1226621
1	2700	1347484
2	4177	1388448
3	5279	1314548
4	6472	1287991
5	7699	1275534
6	8917	1265077
7	10042	1245280
8	11224	1235915
9	12425	1230093
10	13446	1209004
11	15170	1249030
12	16356	1241848
13	17711	1247423
14	18905	1241474
15	20061	1233771
16	21405	1237748
17	22651	1235764
18	23702	1223820
19	25059	1227901
20	26323	1227162
21	27542	1224373
22	28826	1224485
23	30023	1220941
24	31287	1220196
25	32683	1224363
26	33905	1221855
27	35008	1215277
28	36380	1218124
29	37475	1211710
30	38855	1214558
31	40155	1214696
32	41494	1215904
33	42540	1208638
34	43706	1205050
35	45131	1208519
36	46329	1205813
37	47642	1206102
38	48859	1203940
39	50065	1201568
40	51613	1207249
41	52755	1203321
42	53991	1201623
43	55179	1198890
44	56472	1198462
45	58103	1205017
46	59496	1206393
47	60705	1203996
48	61845	1200301
49	63265	1202051
50	64424	1198803
51	65481	1193770
52	66552	1189156
53	67574	1183797
54	69123	1187671
55	70574	1189690
56	71693	1186087
57	72865	1183432
58	74145	1182555
59	75578	1184058
60	76797	1182176
61	77984	1179831
62	79469	1181950
63	80885	1182944
64	82246	1183077
65	83546	1182304
66	84876	1181940
67	86053	1179435
68	87269	1177509
69	88635	1177583
70	89951	1176969
71	91565	1180174
72	92914	1179893
73	94329	1180398
74	95628	1179423
75	96814	1177059
76	97930	1173892
77	99040	1170710
78	100486	1171500
79	101972	1172688
80	103271	1171689
81	104389	1168652
82	105912	1170146
83	107266	1169717
84	108468	1167630
85	109689	1165774
86	111149	1166433
87	112898	1170036
88	114287	1169843
89	115547	1168315
90	117096	1169679
91	118502	1169568
92	119712	1167518
93	121069	1166904
94	122361	1165658
95	123842	1166182
96	125281	1166278
97	126306	1162535
98	127505	1160424
99	128666	1158000
100	129892	1156174
101	131199	1155074
102	132508	1153985
103	133753	1152334
104	135059	1151217
105	136499	1151229
106	137774	1149840
107	138766	1146105
108	139940	1143915
109	141345	1143614
110	143087	1145988
111	144537	1145972
112	145930	1145487
113	147296	1144774
114	148791	1145045
115	149930	1142571
116	151241	1141419
117	152595	1140584
118	153991	1140052
119	155263	1138597
120	156674	1138156
121	157806	1135692
122	159038	1133959
123	160492	1133803
124	161904	1133334
125	163118	1131473
126	164276	1129237
127	165586	1128058
128	166556	1124582
129	167920	1123777
130	168784	1119648
131	170026	1118052
132	171341	1116941
133	172859	1117133
134	174149	1115846
135	175349	1113983
136	176316	1110665
137	177692	1109935
138	179352	1110951
139	180421	1108304
140	181628	1106517
141	183017	1105835
142	184140	1103556
143	185470	1102516
144	186700	1100887
145	187822	1098632
146	189100	1097295
147	190770	1098217
148	192149	1097443
149	193390	1095877
150	194602	1094158
151	195939	1093137
152	197486	1093272
153	198602	1091023
154	199526	1087740
155	201101	1088010
156	202376	1086644
157	203615	1085089
158	204794	1083220
159	205961	1081295
160	207133	1079410
161	208446	1078260
162	209847	1077559
163	211117	1076183
164	212513	1075448
165	213612	1073208
166	214855	1071702
167	216027	1069848
168	217365	1068820
169	218616	1067365
170	219640	1064806
171	221109	1064410
172	222653	1064362
173	223971	1063222
174	225175	1061542
175	226603	1060915
176	227727	1058869
177	228872	1056926
178	230012	1054973
179	231312	1053755
180	232826	1053505
181	234390	1053469
182	235541	1051571
183	236839	1050332
