Feature,Importance
liaison_cible_encodage_controles,819
liaison_frequence,772
Heure,716
JourSemaine,691
interaction_jour_liaison_controles,680
Mois,597
lag_1_controles,578
rolling_mean_7_controles,577
LiaisonId,500
rolling_mean_14_controles,481
rolling_mean_30_controles,458
heure_cos,398
mois_sin,398
jour_semaine_sin,343
Annee,343
rolling_std_14_controles,326
lag_7_controles,324
lag_14_controles,321
mois_cos,311
heure_sin,309
rolling_std_7_controles,306
rolling_std_30_controles,305
lag_30_controles,296
EstRamadan,274
lag_365_controles,189
jour_semaine_cos,183
EstWeekend,37
EstFerie,0
EstVacances,0
