Date,Observe,Tendance,Saisonnalite,Residu
2023-11-01,61775,65194.18745724288,-3168.780319830216,-250.40713741266518
2023-11-02,61981,65326.210998259034,-2581.9355058929523,-763.2754923660832
2023-11-03,64166,65448.64622603425,-2142.5829857337008,859.9367596994416
2023-11-04,69433,65562.85883388638,4337.266799251104,-467.1256331374825
2023-11-05,66594,65669.3031810846,956.6078272939664,-31.911008378563565
2023-11-06,74475,65769.68326403396,6725.2136623335,1980.1030736325483
2023-11-07,60798,65866.54976624709,-4689.520550931097,-379.02921531598986
2023-11-08,62384,65936.6142638261,-2527.367969566374,-1025.2462942597194
2023-11-09,65201,65887.23754204527,-2232.6445061805975,1546.4069641353271
2023-11-10,62735,65890.32316022759,-2603.0610186268923,-552.2621416007023
2023-11-11,71608,65888.45586440523,4602.864281243712,1116.6798543510522
2023-11-12,67103,65816.00227895238,2014.1109045655153,-727.1131835178967
2023-11-13,65764,65700.83185902103,3969.2155472284308,-3906.047406249454
2023-11-14,67592,65593.29455797173,-3669.8497981375076,5668.555240165777
2023-11-15,66746,65510.51735769481,-2016.7974665950226,3252.2801089002096
2023-11-16,62176,65446.280005646564,-1931.5632058550236,-1338.7167997915385
2023-11-17,61359,65392.72214621659,-3023.7466141424466,-1009.975532074146
2023-11-18,69377,65352.376668229175,4889.677891214002,-865.0545594431751
2023-11-19,73770,65279.19037120364,3029.7114925279993,5461.09813626836
2023-11-20,66623,65199.15338465679,1232.2474519793036,191.59916336390597
2023-11-21,60510,65144.491477863114,-2566.194191975214,-2068.2972858879
2023-11-22,63822,65086.68756604979,-1416.4260054277888,151.7384393780012
2023-11-23,64950,64946.984620426105,-1863.571716699288,1866.5870962731788
2023-11-24,61660,64710.05372402609,-3367.303058137384,317.24933411129314
2023-11-25,70435,64448.00885214121,5143.017880893991,843.9732669648001
2023-11-26,67467,64219.876766743,4244.162157680871,-997.0389244238686
2023-11-27,62814,63966.642323025975,-1149.5413846230113,-3.1009384029675857
2023-11-28,61924,63680.13744184417,-1650.6656954232164,-105.47174642095342
2023-11-29,60259,63437.90314449752,-1626.5179931185392,-1552.3851513789778
2023-11-30,61463,63363.88830830944,-2096.8886295656825,196.0003212562442
2023-12-01,60739,63500.43571680742,-3257.0627874979423,495.62707069051976
2023-12-02,67580,63737.12079170027,5707.011719738902,-1864.132511439173
2023-12-03,68473,63978.576612694975,4956.262300856365,-461.83891355134256
