Feature,Importance
NbCirculations,11.525321689225072
log_offset_circulations,10.485283403826317
interaction_jour_liaison_controles,8.90730819807786
rolling_mean_30_controles,7.599071356050557
LiaisonId,7.295222191215913
rolling_mean_14_controles,6.436070054288865
rolling_mean_7_controles,4.883668527342781
liaison_frequence,4.386368069002837
liaison_cible_encodage_controles,4.012954020980583
rolling_std_30_controles,3.3899487310865943
mois_sin,2.957212109999195
rolling_std_14_controles,2.7951773682520895
Mois,2.612348368193214
rolling_std_7_controles,2.590081455094169
mois_cos,2.4630071399329236
lag_1_controles,2.4438680032996127
Annee,2.2242827294463887
rolling_mean_30_circulations,1.6198155279613553
lag_1_circulations,1.3669427143797421
jour_semaine_sin,1.3119771046410276
rolling_std_30_circulations,1.1748969748562657
rolling_mean_14_circulations,1.041483298255208
rolling_std_14_circulations,0.9879149268344184
rolling_mean_7_circulations,0.7795238987234356
JourSemaine,0.7707287771226744
rolling_std_7_circulations,0.7009150062854019
jour_semaine_cos,0.5828024306949878
EstWeekend,0.3980518898027069
EstRamadan,0.36872340991639657
lag_7_controles,0.35352138267571603
lag_7_circulations,0.32581217778526006
lag_14_circulations,0.3028734585181995
lag_30_circulations,0.28625781081667806
lag_14_controles,0.22882069780008238
lag_30_controles,0.17043808757218823
lag_365_controles,0.12083298514559743
lag_365_circulations,0.10047402489767922
EstFerie,0.0
EstVacances,0.0
