Feature,ImportanceShap
interaction_jour_liaison_controles,0.09220827720689476
rolling_mean_30_controles,0.07644322260351723
LiaisonId,0.0676832997873523
log_offset_circulations,0.06671048119308354
NbCirculations,0.06298333084191346
lag_1_controles,0.055890817637501665
rolling_mean_7_controles,0.05184297676025111
rolling_mean_14_controles,0.04588887843606864
liaison_frequence,0.030678476310121185
mois_cos,0.027438756433337822
lag_1_circulations,0.02730013986894333
rolling_std_30_controles,0.019384873978640773
lag_7_controles,0.01893403021644876
mois_sin,0.018421595175496328
liaison_cible_encodage_controles,0.018171810930304653
rolling_std_30_circulations,0.016751617998694575
rolling_mean_7_circulations,0.015558129154620615
rolling_std_7_controles,0.015342823174492518
rolling_std_14_controles,0.014489399438440879
rolling_mean_30_circulations,0.013519512974334133
rolling_std_7_circulations,0.012994842203289173
Annee,0.011953182930340502
rolling_mean_14_circulations,0.011703732485156935
lag_30_circulations,0.010213196334638876
lag_14_controles,0.009881075282633572
Mois,0.008109769310236239
rolling_std_14_circulations,0.0074727452338251435
jour_semaine_sin,0.006860558975964975
EstWeekend,0.005280611427117617
lag_14_circulations,0.005059494091628279
JourSemaine,0.004872179952961531
jour_semaine_cos,0.003882352629391199
lag_7_circulations,0.0037290973509805127
lag_365_controles,0.0032407294834199754
lag_30_controles,0.001724344054421616
lag_365_circulations,0.001722658544971344
EstRamadan,0.0015947192689647412
EstFerie,0.0
EstVacances,0.0
