Annee,Mois,TauxFraude
2023,11,0.0746276362682349
2023,12,0.07872618947995301
2024,1,0.0764013471702777
2024,2,0.0801786958918166
2024,3,0.07793841734742786
2024,4,0.07634614384883961
2024,5,0.0749118078571498
2024,6,0.07383671212846925
2024,7,0.07697606979190999
2024,8,0.07627410552281601
2024,9,0.07493146465810617
2024,10,0.07460962178021513
2024,11,0.07916959878036813
2024,12,0.07581059528873953
2025,1,0.07507961287963036
2025,2,0.07963529664324252
2025,3,0.07583437283421061
2025,4,0.07471624745431688
2025,5,0.07666240285758202
2025,6,0.07665126446783403
2025,7,0.07739954036126749
2025,8,0.0774252233920589
2025,9,0.07600326516737646
2025,10,0.07859629078392154
