Feature,ImportanceShap
interaction_jour_liaison_fraudes,0.011690177306345214
liaison_frequence,0.007869571308198677
liaison_cible_encodage_fraudes,0.001914796816734508
log_offset_controles,0.0014340650634188667
rolling_std_14_controles,0.0010386841422725245
rolling_mean_30_fraudes,0.0007778361169999956
rolling_std_30_fraudes,0.000753435520280599
rolling_mean_14_controles,0.000506349183764681
NbControles,0.0004990614183636437
rolling_mean_30_controles,0.0004828028772057125
rolling_std_30_controles,0.0004665357831498536
rolling_std_7_controles,0.00046310208629521936
LiaisonId,0.0003653891132310975
rolling_mean_14_fraudes,0.0003182988567513587
jour_semaine_cos,0.00030429415442688484
rolling_mean_7_fraudes,0.0002972015078853037
lag_7_controles,0.0002941764135452802
lag_1_controles,0.00029247319675382305
rolling_mean_7_controles,0.0002922167668573713
jour_semaine_sin,0.00020696835582999795
rolling_std_14_fraudes,0.00020468955633351168
lag_365_controles,0.00017822307991587744
mois_sin,0.00017714141131759228
mois_cos,0.00016783956510752884
Mois,0.00016779464251570272
lag_14_controles,0.00016751242884492087
rolling_std_7_fraudes,0.0001558807250898719
JourSemaine,0.00013271652847632572
lag_1_fraudes,9.526895939368885e-05
lag_30_controles,9.507167624742156e-05
Annee,9.236741095682058e-05
lag_365_fraudes,7.585615031392045e-05
lag_14_fraudes,4.1640787031193676e-05
lag_30_fraudes,3.0477000588066227e-05
lag_7_fraudes,5.650337003401809e-06
EstRamadan,3.3727058847401044e-06
EstWeekend,0.0
EstFerie,0.0
EstVacances,0.0
