LiaisonId,liaison_frequence,liaison_cible_encodage_ventes
100,314,2.1163256
101,1331,2.1163256
102,443,2.1163256
103,1044,2.1163256
10796,71,2.1163256
10891,71,2.1163256
11082,1128,2.1163256
12317,2,2.1163256
12319,156,2.1163256
12320,2102,2.1163256
12321,54,2.1163256
12325,8625,2.1163256
12330,18,2.1163256
12340,20,2.1163256
12342,8,2.1163256
12344,21,2.1163256
12346,68,2.1163256
12401,21,2.1163256
12402,130,2.1163256
12403,5,2.1163256
12407,205,2.1163256
12427,1,2.1163256
12487,7,2.1163256
12561,371,2.1163256
12562,39,2.1163256
12566,907,2.1163256
12586,4,2.1163256
12640,35,2.1163256
12644,8336,2.1163256
12649,14,2.1163256
12659,19,2.1163256
12661,9,2.1163256
12663,15,2.1163256
12665,42,2.1163256
1267,34,2.1163256
12722,189,2.1163256
12737,2,2.1163256
12742,2,2.1163256
12798,11463,2.1163256
12803,6244,2.1163256
12813,6383,2.1163256
12815,14,2.1163256
12817,11326,2.1163256
12819,16823,2.1163256
12821,4326,2.1163256
12822,5802,2.1163256
12826,9366,2.1163256
12827,11583,2.1163256
12828,4726,2.1163256
12829,2453,2.1163256
12831,7565,2.1163256
12834,269,2.1163256
12835,870,2.1163256
12836,309,2.1163256
12839,96,2.1163256
12840,2,2.1163256
12841,113,2.1163256
12843,82,2.1163256
12844,59,2.1163256
12845,898,2.1163256
12846,656,2.1163256
12847,2751,2.1163256
12848,60,2.1163256
12849,313,2.1163256
12850,4138,2.1163256
13026,7168,2.1163256
13036,6173,2.1163256
13038,14,2.1163256
13040,6249,2.1163256
13042,14060,2.1163256
13044,3537,2.1163256
13045,4576,2.1163256
13049,3956,2.1163256
13050,6772,2.1163256
13051,2110,2.1163256
13052,1105,2.1163256
13054,3159,2.1163256
13057,149,2.1163256
13058,468,2.1163256
13059,133,2.1163256
13062,21,2.1163256
13064,62,2.1163256
13066,17,2.1163256
13067,17,2.1163256
13068,505,2.1163256
13069,291,2.1163256
13070,1484,2.1163256
13071,22,2.1163256
13072,82,2.1163256
13073,1721,2.1163256
13387,6130,2.1163256
13389,1611,2.1163256
13391,13217,2.1163256
13393,14072,2.1163256
13394,5056,2.1163256
13395,4927,2.1163256
13396,4547,2.1163256
13400,3202,2.1163256
13401,5292,2.1163256
13402,1431,2.1163256
13403,1186,2.1163256
13405,2379,2.1163256
13408,113,2.1163256
13409,277,2.1163256
13410,104,2.1163256
13413,31,2.1163256
13415,46,2.1163256
13417,21,2.1163256
13418,11,2.1163256
