Feature,Importance
rolling_mean_7_ventes,16.046042329990218
rolling_mean_14_ventes,13.507534742397368
liaison_cible_encodage_ventes,13.247273253704213
lag_1_ventes,7.265012917860199
lag_14_ventes,5.64364057822503
rolling_mean_30_ventes,4.987552627097726
liaison_frequence,4.798034359613631
interaction_jour_liaison_ventes,4.630919268782516
JourSemaine,3.5392164156349986
jour_semaine_sin,3.4647623404044103
lag_7_ventes,3.3790505842125333
lag_30_ventes,2.9052572727900476
lag_365_ventes,2.577967529599406
Mois,1.8501874818653647
EstRamadan,1.7761565494831983
rolling_std_7_ventes,1.7579291604190062
mois_sin,1.6190903524239373
mois_cos,1.4297065574329524
heure_sin,1.13191253850298
heure_cos,1.1170175023444664
EstWeekend,0.863826020889491
Heure,0.7014519885908547
jour_semaine_cos,0.6961134857295769
Annee,0.6502048719623889
rolling_std_30_ventes,0.26895287998702117
rolling_std_14_ventes,0.14518639005645206
EstFerie,0.0
LiaisonId,0.0
EstVacances,0.0
