Feature,ImportanceSHAP
liaison_cible_encodage_ventes,1.170515676550526
interaction_jour_liaison_ventes,0.4718450087864717
rolling_mean_30_ventes,0.42384692189887346
rolling_mean_7_ventes,0.38513904077935196
rolling_mean_14_ventes,0.29310544976420183
lag_1_ventes,0.20730851787900142
lag_14_ventes,0.1702767665674568
liaison_frequence,0.16417986335448048
lag_7_ventes,0.14652154056500652
heure_cos,0.05576214741782289
rolling_std_30_ventes,0.05458191565583046
JourSemaine,0.04617410956630013
rolling_std_7_ventes,0.043373406844603536
jour_semaine_sin,0.03204739603762977
mois_sin,0.028171799879988538
heure_sin,0.027167129742286727
EstWeekend,0.02026468147824699
Heure,0.017010970164040417
mois_cos,0.016966674755539084
EstRamadan,0.010827174730997993
rolling_std_14_ventes,0.010751779774547849
lag_365_ventes,0.01055549204392217
Mois,0.010425018549583777
Annee,0.00996685870079103
lag_30_ventes,0.00695014100451981
jour_semaine_cos,0.006419521234492757
EstFerie,0.0
LiaisonId,0.0
EstVacances,0.0
