Date,Observe,Tendance,Saisonnalite,Residu
2023-11-01,53279,56896.28963775581,-2826.068748787536,-791.2208889682806
2023-11-02,55173,56896.50133307236,-2134.3486282732547,410.84729520089604
2023-11-03,54696,56891.74815487068,-2435.253961596831,239.50580672614888
2023-11-04,64590,56883.194426283095,7773.023387452693,-66.21781373578415
2023-11-05,64540,56870.95447221514,7331.405572306241,337.6399554786185
2023-11-06,63628,56854.35206692778,-2952.3416681488006,9725.989601221023
2023-11-07,52156,56830.05087055373,-4297.617757646924,-376.4331129068087
2023-11-08,55283,56778.97359951224,-2711.0372477150336,1215.0636482027912
2023-11-09,53279,56682.85835444905,-2749.3533169540065,-654.505037495037
2023-11-10,54639,56589.66483447028,-2368.340387661952,417.6755531916715
2023-11-11,64252,56497.05181841561,7460.140590502832,294.80759108156053
2023-11-12,60889,56395.19989397429,7245.24652500888,-2751.4464189831706
2023-11-13,53583,56299.46931358811,-2857.3636755248485,140.89436193674192
2023-11-14,52662,56253.9799989274,-3589.4209019553236,-2.5590969720797148
2023-11-15,53560,56283.0993992369,-2610.580634463654,-112.5187647732455
2023-11-16,53295,56365.44392012864,-3355.5224388918377,285.0785187631991
2023-11-17,52261,56481.73180116298,-2243.6562856559817,-1977.075515507
2023-11-18,63659,56588.37638496206,7194.02828515672,-123.40467011877627
2023-11-19,66248,56659.67385922051,7117.026967421086,2471.299173358406
2023-11-20,53968,56711.397949059254,-2717.6871831204494,-25.710765938805707
2023-11-21,54187,56736.41572349382,-2970.453164134982,421.0374406411647
2023-11-22,54477,56716.48630325219,-2621.7606024735164,382.2742992213243
2023-11-23,52732,56646.14561037233,-3876.117512032965,-38.028098339367716
2023-11-24,54528,56518.50098508257,-2192.5596013905447,202.05861630797153
2023-11-25,63121,56373.251241345344,6957.270498774113,-209.52174011946045
2023-11-26,62878,56259.17388936894,7141.4576877171085,-522.6315770860456
2023-11-27,52868,56158.25178011976,-2620.01319180076,-670.238588319
2023-11-28,54937,56096.10546678882,-2472.5905564731665,1313.485089684349
2023-11-29,52701,56101.42310425562,-2828.0811147045224,-572.341989551096
2023-11-30,51168,56145.10744689964,-4009.423632315906,-967.6838145837319
2023-12-01,55817,56204.26301638479,-2143.661579178646,1756.3985627938528
2023-12-02,62038,56252.22327023363,7337.503419898254,-1551.7266901318872
2023-12-03,63169,56265.83554958262,6737.568863725192,165.59558669218677
2023-12-04,55142,56273.87281389503,-2607.4794208308726,1475.6066069358421
2023-12-05,53390,56286.03329202487,-2572.169317745223,-323.863974279644
2023-12-06,53505,56256.547007377754,-3077.6116553374122,326.06464795966167
2023-12-07,52325,56199.349635847735,-3915.6676215068223,41.317985659086844
2023-12-08,52938,56168.17085488099,-2255.636980804955,-974.5338740760344
2023-12-09,64941,56176.14338939575,7994.926049621085,769.9305609831645
2023-12-10,62505,56248.49526779782,6750.456502508987,-493.951770306805
2023-12-11,52552,56366.211941832415,-2420.233302128588,-1393.978639703826
2023-12-12,53184,56488.4543922247,-3079.0481801289816,-225.4062120957242
2023-12-13,53491,56639.25711945644,-3452.043409829153,303.7862903727146
2023-12-14,53692,56830.984972047525,-3870.3652536312075,731.3802815836825
2023-12-15,54558,57052.925383825575,-2953.1606788557724,458.2352950301938
2023-12-16,66039,57298.6803309299,8924.114384285243,-183.79471521514643
2023-12-17,63092,57520.588174555574,7704.017832665596,-2132.6060072211694
2023-12-18,55826,57702.794644310816,-2461.523309188602,584.7286648777881
2023-12-19,54619,57890.38322126341,-3555.105712452868,283.7224911894591
2023-12-20,53971,58064.31938251538,-3792.624472678304,-300.6949098370751
2023-12-21,54533,58162.1217158523,-4147.897635732879,518.7759198805797
2023-12-22,54841,58176.33319852627,-3423.0190795239,87.68588099763292
2023-12-23,61988,58113.5414589187,9312.325014055685,-5437.866472974383
2023-12-24,68690,58002.334037683286,8534.83832283622,2152.8276394804925
2023-12-25,55545,57914.71921378153,-2574.9505617612576,205.23134797973034
2023-12-26,53642,57845.72213430293,-3566.8203043930102,-636.9018299099189
2023-12-27,53295,57762.15087909339,-3795.3020323986552,-671.848846694731
2023-12-28,52372,57685.39801846062,-4763.931436448757,-549.4665820118607
2023-12-29,52807,57610.12694212243,-3668.2424800540657,-1134.8844620683594
2023-12-30,68169,57546.94127156754,9161.851712794622,1460.2070156378322
2023-12-31,67825,57557.35722961617,9189.016966057943,1078.6258043258858
2024-01-01,64285,57608.75792301856,-2608.1197090352107,9284.361786016649
2024-01-02,53854,57614.6230310038,-3166.652430202234,-593.9706008015637
2024-01-03,53862,57533.691198130895,-3495.668203042809,-176.02299508808937
2024-01-04,52183,57392.80085410052,-4900.157563549851,-309.6432905506663
2024-01-05,55164,57269.48690221444,-4055.5196624873543,1950.0327602729158
2024-01-06,65886,57228.25984742725,8457.805922252957,199.93423031979182
2024-01-07,64222,57158.2863923591,9316.31824358557,-2252.60463594467
2024-01-08,53476,56977.6433842773,-2588.765715268384,-912.8776690089144
2024-01-09,56834,56788.40845983659,-2755.266510822335,2800.8580509857493
2024-01-10,55022,56661.071257728174,-3023.713446365986,1384.6421886378157
2024-01-11,61733,56569.59534786129,-4425.256448743389,9588.661100882098
2024-01-12,51538,56489.66734199207,-4067.435317240074,-884.2320247519965
2024-01-13,61207,56366.59876732733,7144.746340194485,-2304.345107521811
2024-01-14,65804,56148.90068946469,8878.855319416209,776.2439911191032
2024-01-15,55043,55925.72453745197,-2659.471676062751,1776.747138610779
2024-01-16,53433,55827.37807958742,-2294.907246553679,-99.47083303373802
2024-01-17,51731,55827.51076737953,-2547.488190722058,-1549.022576657473
2024-01-18,51828,55841.50462912419,-3626.825689396812,-386.6789397273751
2024-01-19,51582,55859.77360395807,-3954.834720765191,-322.9388831928809
2024-01-20,62077,55902.18502942306,6317.278806249788,-142.46383567284647
2024-01-21,65016,55978.609820440026,8409.03434506274,628.3558344972334
2024-01-22,53140,56062.42671479441,-2691.589871727996,-230.83684306641953
2024-01-23,53722,56110.92956514955,-2430.751196556439,41.821631406892266
2024-01-24,55216,56109.73971255751,-2715.1168464277625,1821.3771338702572
2024-01-25,53516,56099.42131520838,-2859.6115448704836,276.1902296620974
2024-01-26,52025,56105.41686022647,-3248.2486905373826,-832.1681696890882
2024-01-27,62078,56153.089867380455,6298.7552194027,-373.84508678315615
2024-01-28,63560,56265.21019162908,7655.500002408031,-360.7101940371067
2024-01-29,52240,56409.176622434854,-2757.767608991148,-1411.4090134437065
2024-01-30,54023,56546.53439056983,-2706.163164830498,182.62877426066552
2024-01-31,53736,56686.74064838347,-2869.244327785184,-81.49632059828582
2024-02-01,56120,56781.35863394788,-2829.431544871523,2168.0729109236418
2024-02-02,56039,56788.74633484616,-2490.408880564609,1740.662545718449
2024-02-03,63684,56723.633573049934,6697.641968576438,262.72445837362466
2024-02-04,62820,56607.633800896816,6879.075163081909,-666.7089639787227
2024-02-05,55204,56441.495534628,-2815.519620475529,1578.02408584753
2024-02-06,52082,56250.64347674574,-2652.776432828527,-1515.8670439172129
2024-02-07,51744,56091.05215079942,-2913.6585111272625,-1433.3936396721547
2024-02-08,52611,56035.72791457038,-3109.2395946074444,-315.488319962933
2024-02-09,54008,56067.379584317525,-2075.4139953535264,16.034411036001984
2024-02-10,63200,56142.35743920243,7147.46666442464,-89.82410362707014
2024-02-11,65519,56263.870880056835,6248.420002457108,3006.7091174860543
2024-02-12,52834,56408.630461857334,-2469.9992096851906,-1104.631252172141
2024-02-13,55361,56511.91804974748,-2551.2610658458266,1400.343016098348
2024-02-14,54052,56575.84287295509,-2827.5173406637623,303.67446770867537
2024-02-15,52058,56608.604458261165,-3591.30717281365,-959.2972854475156
2024-02-16,55086,56631.58218949496,-2367.616900155145,822.0347106601839
2024-02-17,64109,56660.58984863659,7652.965377026016,-204.5552256626106
2024-02-18,61535,56679.08034366429,6036.442119991534,-1180.5224636558269
2024-02-19,55152,56692.06830970578,-2403.966314527632,863.8980048218582
2024-02-20,53699,56733.45637333862,-2257.607159092602,-776.8492142460163
2024-02-21,55125,56781.75155361698,-2669.1246180487005,1012.3730644317184
2024-02-22,53380,56839.09633938413,-3777.7814504483185,318.68511106418737
2024-02-23,52622,56897.57981439957,-2760.192921220277,-1515.3868931792967
2024-02-24,65444,56912.59867182659,7978.053469209289,553.3478589641163
2024-02-25,63029,56875.88124100895,5502.514812927079,650.6039460639659
2024-02-26,54089,56830.33502864315,-1854.017323995297,-887.3177046478522
2024-02-27,55638,56775.2153581444,-2474.235796527269,1337.0204383828677
2024-02-28,53652,56699.584865204,-2992.0113996303007,-55.57346557370329
2024-02-29,52708,56591.797059788034,-3664.1668030222068,-219.63025676582765
2024-03-01,53737,56508.89367279048,-2114.686949365587,-657.2067234248898
2024-03-02,64545,56507.26945300303,7362.121384720449,675.6091622765234
2024-03-03,65715,56606.045136664645,4797.730668645748,4311.22419468961
2024-03-04,54405,56922.402640888235,-711.263353726274,-1806.139287161961
2024-03-05,53357,57465.26364120894,-2748.3268657364656,-1359.9367754724735
2024-03-06,53899,58130.63918856904,-2950.399864366758,-1281.2393242022808
2024-03-07,55125,58887.560224398585,-3146.1782206687803,-616.3820037298065
2024-03-08,52560,59832.577830288436,-1122.5455732893822,-6150.032256999053
2024-03-09,68134,60937.004524105,5623.895220021977,1573.1002558730179
2024-03-10,65682,61927.07295071312,3802.5011478845604,-47.57409859768086
2024-03-11,65136,62683.18383854764,286.3254989371111,2166.4906625152507
2024-03-12,60221,63301.99052370515,-2956.480301257047,-124.51022244810156
2024-03-13,67247,63725.55261746873,-2647.05458928662,6168.501971817888
2024-03-14,66630,64005.879108849804,-2195.1358851125988,4819.256776262795
2024-03-15,65673,64243.34874287519,-194.16216503203506,1623.8134221568398
2024-03-16,66671,64437.81270346609,3409.31453924734,-1176.1272427134245
2024-03-17,61664,64559.56337726438,3071.459998689406,-5967.0233759537805
2024-03-18,60895,64620.26765407809,1262.9864575151034,-4988.254111593189
2024-03-19,62001,64559.25247218473,-3423.3036552389353,865.0511830542091
2024-03-20,63060,64446.624739251034,-2014.9019008790765,628.2771616280443
2024-03-21,63072,64297.82650946374,-1207.339246286387,-18.48726317735418
2024-03-22,63990,64045.55617727684,344.19680031557925,-399.7529775924195
2024-03-23,61472,63759.505357434995,1920.0699108639728,-4207.57526829897
2024-03-24,60536,63471.867275878234,2352.133048465126,-5288.00032434336
2024-03-25,65051,63189.40651372166,1741.7903174989747,119.80316877936275
2024-03-26,66135,62964.151748618744,-4080.8667671133994,7251.715018494659
2024-03-27,60767,62807.57686589338,-842.5531923929151,-1198.0236735004655
2024-03-28,63708,62751.61413229487,-321.8798059256166,1278.2656736307472
2024-03-29,62181,62877.11224007262,554.98722314624,-1251.0994632188667
2024-03-30,62768,63122.2721371291,1170.1877483937487,-1524.459885522847
2024-03-31,65206,63469.96264177696,1822.84512199277,-86.8077637697279
2024-04-01,65438,63921.88025201527,1203.6911974307268,312.42855055400287
2024-04-02,59266,64404.00849491326,-4690.377407635153,-447.6310872781032
2024-04-03,67327,64853.89621778834,-343.2693193475484,2816.3731015592057
2024-04-04,64390,65251.28253416287,12.873364221480571,-874.1558983843497
2024-04-05,67641,65510.66532717663,219.03714423795552,1911.2975285854118
2024-04-06,67877,65642.95353250216,1594.8706156993455,639.1758517984999
2024-04-07,61945,65669.2953809458,3842.9169100783174,-7567.212291024116
2024-04-08,65337,65436.24089424242,-203.158185620299,103.91729137787479
2024-04-09,54357,64927.96114604872,-5234.063695841353,-5336.897450207369
2024-04-10,65129,64291.373757774316,-846.3995266553784,1684.025768881067
2024-04-11,64275,63511.72251258262,-381.53219088774347,1144.8096783051224
2024-04-12,52593,62625.08833257051,-410.17492027151354,-9621.913412298993
2024-04-13,62298,61672.71902314831,3372.1045121526904,-2746.8235353010023
2024-04-14,66621,60715.9507849825,5628.998599268098,276.0506157494019
2024-04-15,53590,59760.715764743516,-1348.0013064033785,-4822.714458340139
2024-04-16,52923,58855.9603936284,-5130.27163598239,-802.6887576460067
2024-04-17,53535,58106.78964249566,-1908.8562649860523,-2662.9333775096093
2024-04-18,56606,57558.65376004296,-990.3324248368705,37.67866479391523
2024-04-19,55588,57095.672404533,-1245.8148028174924,-261.85760171550646
2024-04-20,62425,56708.41676003817,4763.177465665399,953.4057742964287
2024-04-21,63715,56421.74458828209,7374.334576986313,-81.07916526840563
2024-04-22,52240,56174.93701817712,-2212.133442001072,-1722.8035761760475
