Feature,Importance
liaison_cible_encodage_ventes,225189.890760459
interaction_jour_liaison_ventes,93764.70113237202
NbCirculations,47852.80995478481
rolling_std_14_ventes,44725.52535775304
liaison_frequence,24241.39770898968
rolling_std_30_ventes,22059.394490733743
LiaisonId,18578.468042068183
log_offset_circulations,10153.854442730546
rolling_std_7_ventes,6702.273299813271
rolling_std_14_circulations,6311.12905202806
rolling_std_30_circulations,5455.254659242928
rolling_mean_30_circulations,3763.2941566109657
lag_1_ventes,3495.3574842512608
rolling_mean_14_ventes,3044.069747045636
rolling_mean_14_circulations,2918.8278152942657
Annee,2779.7944290041924
lag_1_circulations,2635.230103060603
JourSemaine,2128.340161472559
rolling_mean_30_ventes,1981.6275296360254
Mois,1834.0582008585334
mois_cos,1367.5876085311174
rolling_std_7_circulations,1354.063249975443
jour_semaine_sin,1274.6062712967396
jour_semaine_cos,1190.7689124941826
mois_sin,1155.1921264976263
rolling_mean_7_circulations,999.600850135088
rolling_mean_7_ventes,591.6025946810842
lag_30_circulations,590.218696564436
EstWeekend,521.959934964776
lag_30_ventes,377.5074450522661
lag_14_circulations,333.50588724017143
lag_7_circulations,312.9943926036358
lag_14_ventes,297.1347721070051
lag_7_ventes,253.66984330117702
lag_365_ventes,205.7907680720091
lag_365_circulations,171.94402117282152
EstRamadan,154.26933571696281
EstFerie,0.0
EstVacances,0.0
