LiaisonId,liaison_frequence,liaison_cible_encodage_controles
100,314,2.4827752
101,1331,2.4827752
102,443,2.4827752
103,1044,2.4827752
10796,71,2.4827752
10891,71,2.4827752
11082,1128,2.4827752
12317,2,2.4827752
12319,156,2.4827752
12320,2102,2.4827752
12321,54,2.4827752
12325,8625,2.4827752
12330,18,2.4827752
12340,20,2.4827752
12342,8,2.4827752
12344,21,2.4827752
12346,68,2.4827752
12401,21,2.4827752
12402,130,2.4827752
12403,5,2.4827752
12407,205,2.4827752
12427,1,2.4827752
12487,7,2.4827752
12561,371,2.4827752
12562,39,2.4827752
12566,907,2.4827752
12586,4,2.4827752
12640,35,2.4827752
12644,8336,2.4827752
12649,14,2.4827752
12659,19,2.4827752
12661,9,2.4827752
12663,15,2.4827752
12665,42,2.4827752
1267,34,2.4827752
12722,189,2.4827752
12737,2,2.4827752
12742,2,2.4827752
12798,11463,2.4827752
12803,6244,2.4827752
12813,6383,2.4827752
12815,14,2.4827752
12817,11326,2.4827752
12819,16823,2.4827752
12821,4326,2.4827752
12822,5802,2.4827752
12826,9366,2.4827752
12827,11583,2.4827752
12828,4726,2.4827752
12829,2453,2.4827752
12831,7565,2.4827752
12834,269,2.4827752
12835,870,2.4827752
12836,309,2.4827752
12839,96,2.4827752
12840,2,2.4827752
12841,113,2.4827752
12843,82,2.4827752
12844,59,2.4827752
12845,898,2.4827752
12846,656,2.4827752
12847,2751,2.4827752
12848,60,2.4827752
12849,313,2.4827752
12850,4138,2.4827752
13026,7168,2.4827752
13036,6173,2.4827752
13038,14,2.4827752
13040,6249,2.4827752
13042,14060,2.4827752
13044,3537,2.4827752
13045,4576,2.4827752
13049,3956,2.4827752
13050,6772,2.4827752
13051,2110,2.4827752
13052,1105,2.4827752
13054,3159,2.4827752
13057,149,2.4827752
13058,468,2.4827752
13059,133,2.4827752
13062,21,2.4827752
13064,62,2.4827752
13066,17,2.4827752
13067,17,2.4827752
13068,505,2.4827752
13069,291,2.4827752
13070,1484,2.4827752
13071,22,2.4827752
13072,82,2.4827752
13073,1721,2.4827752
13387,6130,2.4827752
13389,1611,2.4827752
13391,13217,2.4827752
13393,14072,2.4827752
13394,5056,2.4827752
13395,4927,2.4827752
13396,4547,2.4827752
13400,3202,2.4827752
13401,5292,2.4827752
13402,1431,2.4827752
13403,1186,2.4827752
13405,2379,2.4827752
13408,113,2.4827752
13409,277,2.4827752
13410,104,2.4827752
13413,31,2.4827752
13415,46,2.4827752
13417,21,2.4827752
13418,11,2.4827752
13419,402,2.4827752
13420,373,2.4827752
13421,1180,2.4827752
13422,8,2.4827752
13423,88,2.4827752
13424,1653,2.4827752
13447,7,2.4827752
13448,56,2.4827752
13449,178,2.4827752
13450,382,2.4827752
13451,110,2.4827752
13452,975,2.4827752
13453,5,2.4827752
13454,255,2.4827752
13455,83,2.4827752
13456,31,2.4827752
13457,247,2.4827752
13458,77,2.4827752
13459,42,2.4827752
13460,683,2.4827752
1351,390,2.4827752
13514,8,2.4827752
13515,18,2.4827752
13516,61,2.4827752
13517,22,2.4827752
13518,100,2.4827752
13520,9,2.4827752
13521,156,2.4827752
13522,14,2.4827752
13523,40,2.4827752
13524,28,2.4827752
13525,34,2.4827752
13526,348,2.4827752
13580,16,2.4827752
13581,89,2.4827752
13582,36,2.4827752
13583,257,2.4827752
13584,1,2.4827752
13585,15,2.4827752
13586,457,2.4827752
13587,28,2.4827752
13588,145,2.4827752
13589,81,2.4827752
13590,97,2.4827752
13591,921,2.4827752
13645,50,2.4827752
13646,11,2.4827752
13647,373,2.4827752
13649,12,2.4827752
13650,859,2.4827752
13651,53,2.4827752
13652,253,2.4827752
13653,154,2.4827752
13654,132,2.4827752
13655,1972,2.4827752
13709,73,2.4827752
13710,1227,2.4827752
13711,16,2.4827752
13712,47,2.4827752
13713,1694,2.4827752
13714,61,2.4827752
13715,437,2.4827752
