LiaisonId,JourSemaine,interaction_jour_liaison_controles
100,3,2.4827752
100,4,2.4827752
100,5,2.4827752
100,6,2.4827752
100,0,2.4827752
100,1,2.4827752
100,2,2.4827752
101,0,2.4827752
101,1,2.4827752
101,2,2.4827752
101,3,2.4827752
101,4,2.4827752
101,5,2.4827752
101,6,2.4827752
102,6,2.4827752
102,0,2.4827752
102,1,2.4827752
102,2,2.4827752
102,3,2.4827752
102,4,2.4827752
102,5,2.4827752
103,6,2.4827752
103,0,2.4827752
103,1,2.4827752
103,2,2.4827752
103,3,2.4827752
103,4,2.4827752
103,5,2.4827752
10796,4,2.4827752
10796,5,2.4827752
10796,6,2.4827752
10796,0,2.4827752
10796,1,2.4827752
10796,2,2.4827752
10796,3,2.4827752
10891,4,2.4827752
10891,5,2.4827752
10891,6,2.4827752
10891,0,2.4827752
10891,1,2.4827752
10891,2,2.4827752
10891,3,2.4827752
11082,1,2.4827752
11082,2,2.4827752
11082,3,2.4827752
11082,4,2.4827752
11082,5,2.4827752
11082,6,2.4827752
11082,0,2.4827752
12317,3,2.4827752
12317,4,2.4827752
12317,5,2.4827752
12317,6,2.4827752
12317,0,2.4827752
12317,1,2.4827752
12317,2,2.4827752
12319,4,2.4827752
12319,5,2.4827752
12319,6,2.4827752
12319,0,2.4827752
12319,1,2.4827752
12319,2,2.4827752
12319,3,2.4827752
12320,5,2.4827752
12320,6,2.4827752
12320,0,2.4827752
12320,1,2.4827752
12320,2,2.4827752
12320,3,2.4827752
12320,4,2.4827752
12321,6,2.4827752
12321,0,2.4827752
12321,1,2.4827752
12321,2,2.4827752
12321,3,2.4827752
12321,4,2.4827752
12321,5,2.4827752
12325,4,2.4827752
12325,5,2.4827752
12325,6,2.4827752
12325,0,2.4827752
12325,1,2.4827752
12325,2,2.4827752
12325,3,2.4827752
12330,4,2.4827752
12330,5,2.4827752
12330,6,2.4827752
12330,0,2.4827752
12330,1,2.4827752
12330,2,2.4827752
12330,3,2.4827752
12340,1,2.4827752
12340,2,2.4827752
12340,3,2.4827752
12340,4,2.4827752
12340,5,2.4827752
12340,6,2.4827752
12340,0,2.4827752
12342,4,2.4827752
12342,5,2.4827752
12342,6,2.4827752
12342,0,2.4827752
12342,1,2.4827752
12342,2,2.4827752
12342,3,2.4827752
12344,3,2.4827752
12344,4,2.4827752
12344,5,2.4827752
12344,6,2.4827752
12344,0,2.4827752
12344,1,2.4827752
12344,2,2.4827752
12346,4,2.4827752
12346,0,2.4827752
12346,1,2.4827752
12346,2,2.4827752
12346,3,2.4827752
12346,5,2.4827752
12346,6,2.4827752
12401,0,2.4827752
12401,1,2.4827752
12401,2,2.4827752
12401,3,2.4827752
12401,4,2.4827752
12401,5,2.4827752
12401,6,2.4827752
12402,5,2.4827752
12402,6,2.4827752
12402,0,2.4827752
12402,1,2.4827752
12402,2,2.4827752
12402,3,2.4827752
12402,4,2.4827752
12403,2,2.4827752
12403,3,2.4827752
12403,4,2.4827752
12403,5,2.4827752
12403,6,2.4827752
12403,0,2.4827752
12403,1,2.4827752
12407,4,2.4827752
12407,5,2.4827752
12407,6,2.4827752
12407,0,2.4827752
12407,1,2.4827752
12407,2,2.4827752
12407,3,2.4827752
12427,6,2.4827752
12427,0,2.4827752
12427,1,2.4827752
12427,2,2.4827752
12427,3,2.4827752
12427,4,2.4827752
12487,2,2.4827752
12487,3,2.4827752
12487,4,2.4827752
12487,5,2.4827752
12487,6,2.4827752
12487,0,2.4827752
12487,1,2.4827752
12561,6,2.4827752
12561,0,2.4827752
12561,1,2.4827752
12561,2,2.4827752
12561,3,2.4827752
12561,4,2.4827752
12561,5,2.4827752
12562,1,2.4827752
12562,2,2.4827752
12562,3,2.4827752
12562,4,2.4827752
12562,5,2.4827752
12562,6,2.4827752
12562,0,2.4827752
12566,6,2.4827752
12566,0,2.4827752
12566,1,2.4827752
12566,2,2.4827752
12566,3,2.4827752
12566,4,2.4827752
12566,5,2.4827752
12586,6,2.4827752
12586,0,2.4827752
12586,1,2.4827752
12586,2,2.4827752
12586,3,2.4827752
12586,4,2.4827752
12640,5,2.4827752
12640,6,2.4827752
12640,0,2.4827752
12640,1,2.4827752
12640,2,2.4827752
12640,3,2.4827752
12640,4,2.4827752
12644,4,2.4827752
12644,5,2.4827752
12644,6,2.4827752
12644,0,2.4827752
