LiaisonId,NiveauConfort,liaison_frequence,liaison_cible_encodage_ventes,interaction_jour_liaison_ventes
100,1,140,20.82826,20.82826
100,2,140,20.82826,20.82826
101,1,405,20.82826,20.82826
101,2,405,20.82826,20.82826
102,1,166,20.82826,20.82826
102,2,166,20.82826,20.82826
103,1,353,20.82826,20.82826
103,2,353,20.82826,20.82826
10796,2,33,20.82826,20.82826
10891,2,31,20.82826,20.82826
11082,1,297,20.82826,20.82826
11082,2,297,20.82826,20.82826
12317,2,2,20.82826,20.82826
12319,2,53,20.82826,20.82826
12320,1,308,20.82826,20.82826
12320,2,308,20.82826,20.82826
12321,2,19,20.82826,20.82826
12325,1,958,20.82826,20.82826
12325,2,958,20.82826,20.82826
12330,2,7,20.82826,20.82826
12340,2,8,20.82826,20.82826
12342,2,3,20.82826,20.82826
12344,2,9,20.82826,20.82826
12346,2,27,20.82826,20.82826
12401,2,17,20.82826,20.82826
12402,2,102,20.82826,20.82826
12403,2,5,20.82826,20.82826
12407,1,141,20.82826,20.82826
12407,2,141,20.82826,20.82826
12487,2,2,20.82826,20.82826
12561,2,260,20.82826,20.82826
12562,2,34,20.82826,20.82826
12566,1,368,20.82826,20.82826
12566,2,368,20.82826,20.82826
12586,2,2,20.82826,20.82826
12640,2,14,20.82826,20.82826
12644,1,663,20.82826,20.82826
12644,2,663,20.82826,20.82826
12649,2,4,20.82826,20.82826
12659,2,6,20.82826,20.82826
12661,2,2,20.82826,20.82826
12663,2,5,20.82826,20.82826
12665,2,18,20.82826,20.82826
1267,2,17,20.82826,20.82826
12722,1,138,20.82826,20.82826
12722,2,138,20.82826,20.82826
12737,2,1,20.82826,20.82826
12742,2,1,20.82826,20.82826
12798,1,1259,20.82826,20.82826
12798,2,1259,20.82826,20.82826
12803,1,798,20.82826,20.82826
12803,2,798,20.82826,20.82826
12813,1,841,20.82826,20.82826
12813,2,841,20.82826,20.82826
12815,2,4,20.82826,20.82826
12817,1,1233,20.82826,20.82826
12817,2,1233,20.82826,20.82826
12819,1,1447,20.82826,20.82826
12819,2,1447,20.82826,20.82826
12821,1,800,20.82826,20.82826
12821,2,800,20.82826,20.82826
12822,1,936,20.82826,20.82826
12822,2,936,20.82826,20.82826
12826,1,1199,20.82826,20.82826
12826,2,1199,20.82826,20.82826
12827,1,1262,20.82826,20.82826
12827,2,1262,20.82826,20.82826
12828,1,705,20.82826,20.82826
12828,2,705,20.82826,20.82826
12829,1,509,20.82826,20.82826
12829,2,509,20.82826,20.82826
12831,1,983,20.82826,20.82826
12831,2,983,20.82826,20.82826
12834,2,67,20.82826,20.82826
12835,1,171,20.82826,20.82826
12835,2,171,20.82826,20.82826
12836,2,134,20.82826,20.82826
12839,2,42,20.82826,20.82826
12840,2,1,20.82826,20.82826
12841,1,52,20.82826,20.82826
12841,2,52,20.82826,20.82826
12843,2,35,20.82826,20.82826
12844,2,27,20.82826,20.82826
12845,2,110,20.82826,20.82826
12846,1,117,20.82826,20.82826
12846,2,117,20.82826,20.82826
12847,1,530,20.82826,20.82826
12847,2,530,20.82826,20.82826
12848,1,26,20.82826,20.82826
12848,2,26,20.82826,20.82826
12849,1,67,20.82826,20.82826
12849,2,67,20.82826,20.82826
12850,1,735,20.82826,20.82826
12850,2,735,20.82826,20.82826
13026,1,652,20.82826,20.82826
13026,2,652,20.82826,20.82826
13036,1,504,20.82826,20.82826
13036,2,504,20.82826,20.82826
13038,2,5,20.82826,20.82826
13040,1,794,20.82826,20.82826
13040,2,794,20.82826,20.82826
13042,1,1025,20.82826,20.82826
13042,2,1025,20.82826,20.82826
13044,1,433,20.82826,20.82826
13044,2,433,20.82826,20.82826
13045,1,588,20.82826,20.82826
13045,2,588,20.82826,20.82826
13049,1,457,20.82826,20.82826
13049,2,457,20.82826,20.82826
13050,1,570,20.82826,20.82826
13050,2,570,20.82826,20.82826
13051,2,275,20.82826,20.82826
13052,2,207,20.82826,20.82826
13054,2,326,20.82826,20.82826
13057,2,51,20.82826,20.82826
13058,2,83,20.82826,20.82826
13059,1,61,20.82826,20.82826
13059,2,61,20.82826,20.82826
13062,2,10,20.82826,20.82826
13064,2,26,20.82826,20.82826
13066,2,7,20.82826,20.82826
13067,2,8,20.82826,20.82826
13068,2,90,20.82826,20.82826
13069,2,74,20.82826,20.82826
13070,2,216,20.82826,20.82826
13071,2,9,20.82826,20.82826
13072,2,32,20.82826,20.82826
13073,1,281,20.82826,20.82826
13073,2,281,20.82826,20.82826
13387,1,692,20.82826,20.82826
13387,2,692,20.82826,20.82826
13389,1,298,20.82826,20.82826
13389,2,298,20.82826,20.82826
13391,1,1238,20.82826,20.82826
13391,2,1238,20.82826,20.82826
13393,1,1271,20.82826,20.82826
13393,2,1271,20.82826,20.82826
13394,1,753,20.82826,20.82826
13394,2,753,20.82826,20.82826
13395,1,580,20.82826,20.82826
13395,2,580,20.82826,20.82826
13396,1,582,20.82826,20.82826
13396,2,582,20.82826,20.82826
13400,1,447,20.82826,20.82826
13400,2,447,20.82826,20.82826
13401,1,606,20.82826,20.82826
13401,2,606,20.82826,20.82826
13402,1,217,20.82826,20.82826
13402,2,217,20.82826,20.82826
13403,1,199,20.82826,20.82826
13403,2,199,20.82826,20.82826
13405,1,331,20.82826,20.82826
13405,2,331,20.82826,20.82826
13408,2,40,20.82826,20.82826
13409,2,79,20.82826,20.82826
13410,2,46,20.82826,20.82826
13413,2,13,20.82826,20.82826
13415,2,21,20.82826,20.82826
13417,1,10,20.82826,20.82826
13417,2,10,20.82826,20.82826
13418,2,6,20.82826,20.82826
13419,2,94,20.82826,20.82826
13420,2,71,20.82826,20.82826
13421,1,218,20.82826,20.82826
13421,2,218,20.82826,20.82826
13422,2,4,20.82826,20.82826
13423,1,33,20.82826,20.82826
13423,2,33,20.82826,20.82826
13424,1,274,20.82826,20.82826
13424,2,274,20.82826,20.82826
