NiveauConfort,Feature,Importance
1,LiaisonId_code,2666
1,Annee,249
1,Mois,395
1,JourSemaine,331
1,EstWeekend,18
1,EstFerie,0
1,EstRamadan,80
1,EstVacances,0
1,jour_semaine_sin,256
1,jour_semaine_cos,139
1,mois_sin,233
1,mois_cos,384
1,liaison_frequence,2032
1,liaison_cible_encodage_ventes,1182
1,interaction_jour_liaison_ventes,777
1,lag_1_ventes,222
1,lag_7_ventes,264
1,lag_14_ventes,203
1,lag_30_ventes,209
1,lag_365_ventes,249
1,rolling_mean_7_ventes,329
1,rolling_mean_14_ventes,358
1,rolling_mean_30_ventes,448
1,rolling_std_7_ventes,345
1,rolling_std_14_ventes,488
1,rolling_std_30_ventes,591
2,LiaisonId_code,84
2,Annee,189
2,Mois,214
2,JourSemaine,92
2,EstWeekend,2
2,EstFerie,0
2,EstRamadan,68
2,EstVacances,0
2,jour_semaine_sin,127
2,jour_semaine_cos,56
2,mois_sin,111
2,mois_cos,171
2,liaison_frequence,331
2,liaison_cible_encodage_ventes,123
2,interaction_jour_liaison_ventes,87
2,lag_1_ventes,126
2,lag_7_ventes,124
2,lag_14_ventes,150
2,lag_30_ventes,125
2,lag_365_ventes,36
2,rolling_mean_7_ventes,50
2,rolling_mean_14_ventes,71
2,rolling_mean_30_ventes,92
2,rolling_std_7_ventes,38
2,rolling_std_14_ventes,20
2,rolling_std_30_ventes,55
3,LiaisonId_code,3
3,Annee,4
3,Mois,5
3,JourSemaine,11
3,EstWeekend,0
3,EstFerie,0
3,EstRamadan,0
3,EstVacances,0
3,jour_semaine_sin,8
3,jour_semaine_cos,4
3,mois_sin,7
3,mois_cos,10
3,liaison_frequence,4
3,liaison_cible_encodage_ventes,19
3,interaction_jour_liaison_ventes,6
3,lag_1_ventes,0
3,lag_7_ventes,0
3,lag_14_ventes,0
3,lag_30_ventes,1
3,lag_365_ventes,0
3,rolling_mean_7_ventes,0
3,rolling_mean_14_ventes,1
3,rolling_mean_30_ventes,8
3,rolling_std_7_ventes,1
3,rolling_std_14_ventes,0
3,rolling_std_30_ventes,2
4,LiaisonId_code,0
4,Annee,4
4,Mois,4
4,JourSemaine,5
4,EstWeekend,0
4,EstFerie,0
4,EstRamadan,0
4,EstVacances,0
4,jour_semaine_sin,1
4,jour_semaine_cos,0
4,mois_sin,5
4,mois_cos,8
4,liaison_frequence,2
4,liaison_cible_encodage_ventes,4
4,interaction_jour_liaison_ventes,6
4,lag_1_ventes,0
4,lag_7_ventes,0
4,lag_14_ventes,0
4,lag_30_ventes,0
4,lag_365_ventes,0
4,rolling_mean_7_ventes,0
4,rolling_mean_14_ventes,0
4,rolling_mean_30_ventes,4
4,rolling_std_7_ventes,0
4,rolling_std_14_ventes,0
4,rolling_std_30_ventes,0
5,LiaisonId_code,0
5,Annee,1
5,Mois,0
5,JourSemaine,1
5,EstWeekend,0
5,EstFerie,0
5,EstRamadan,0
5,EstVacances,0
5,jour_semaine_sin,1
5,jour_semaine_cos,0
5,mois_sin,1
5,mois_cos,2
5,liaison_frequence,0
5,liaison_cible_encodage_ventes,0
5,interaction_jour_liaison_ventes,2
5,lag_1_ventes,0
5,lag_7_ventes,0
5,lag_14_ventes,0
5,lag_30_ventes,0
5,lag_365_ventes,0
5,rolling_mean_7_ventes,0
5,rolling_mean_14_ventes,1
5,rolling_mean_30_ventes,0
5,rolling_std_7_ventes,0
5,rolling_std_14_ventes,0
5,rolling_std_30_ventes,0
