NiveauConfort,Feature,ImportanceSHAP
1,LiaisonId_code,0.004742011711466104
1,Annee,0.0005129441531632747
1,Mois,0.0002867494488343258
1,JourSemaine,0.00023559246961718638
1,EstWeekend,2.4668940517555562e-05
1,EstFerie,0.0
1,EstRamadan,0.00011273428980228213
1,EstVacances,0.0
1,jour_semaine_sin,0.00034764600304334873
1,jour_semaine_cos,0.0001792394273715046
1,mois_sin,0.00052637555698159
1,mois_cos,0.0008500600969024758
1,liaison_frequence,0.012716324535003633
1,liaison_cible_encodage_ventes,0.023804435480264372
1,interaction_jour_liaison_ventes,0.0011001029659128724
1,lag_1_ventes,0.0010113978712424502
1,lag_7_ventes,0.0006101220672618615
1,lag_14_ventes,0.0005017472315784439
1,lag_30_ventes,0.00041392867873276
1,lag_365_ventes,0.0002506760548489946
1,rolling_mean_7_ventes,0.0006201871401751278
1,rolling_mean_14_ventes,0.001107867623758381
1,rolling_mean_30_ventes,0.0027965081603095318
1,rolling_std_7_ventes,0.0002792549134898914
1,rolling_std_14_ventes,0.00044298677995701947
1,rolling_std_30_ventes,0.0006079357469742861
2,LiaisonId_code,0.0011378825480035453
2,Annee,0.0040540571664566885
2,Mois,0.001751245239207417
2,JourSemaine,0.0011906216845276338
2,EstWeekend,4.012458381796333e-05
2,EstFerie,0.0
2,EstRamadan,0.0004159589626900639
2,EstVacances,0.0
2,jour_semaine_sin,0.0013184871322708546
2,jour_semaine_cos,0.0007362332895357406
2,mois_sin,0.0031586275121117265
2,mois_cos,0.0029388421544467263
2,liaison_frequence,0.07931051193176043
2,liaison_cible_encodage_ventes,0.03689574617365884
2,interaction_jour_liaison_ventes,0.004060926649213545
2,lag_1_ventes,0.02765879162055537
2,lag_7_ventes,0.008946466307427505
2,lag_14_ventes,0.009784876963795238
2,lag_30_ventes,0.0036631512832589535
2,lag_365_ventes,0.00037378502438680514
2,rolling_mean_7_ventes,0.004748876577561467
2,rolling_mean_14_ventes,0.009953873086784212
2,rolling_mean_30_ventes,0.02239510355978856
2,rolling_std_7_ventes,0.0020616915675895236
2,rolling_std_14_ventes,0.0010686672324545538
2,rolling_std_30_ventes,0.0008067801314193471
3,LiaisonId_code,0.0003674087703000047
3,Annee,0.00028289117564268254
3,Mois,0.00016685314280457395
3,JourSemaine,7.307043559045375e-05
3,EstWeekend,0.0
3,EstFerie,0.0
3,EstRamadan,0.0
3,EstVacances,0.0
3,jour_semaine_sin,0.00016559908827003245
3,jour_semaine_cos,4.463687479844543e-05
3,mois_sin,0.0002029176068342084
3,mois_cos,0.0003373644981001051
3,liaison_frequence,0.00045616875921720556
3,liaison_cible_encodage_ventes,0.00025957664430639363
3,interaction_jour_liaison_ventes,0.0002679410101972018
3,lag_1_ventes,0.0
3,lag_7_ventes,0.0
3,lag_14_ventes,0.0
3,lag_30_ventes,4.132886954915547e-06
3,lag_365_ventes,0.0
3,rolling_mean_7_ventes,0.0
3,rolling_mean_14_ventes,2.9208189113252113e-05
3,rolling_mean_30_ventes,0.00011329014642528693
3,rolling_std_7_ventes,3.4370501041461336e-05
3,rolling_std_14_ventes,0.0
3,rolling_std_30_ventes,7.133237957573989e-06
4,LiaisonId_code,0.0
4,Annee,0.0005799439008569936
4,Mois,0.0007646504046498653
4,JourSemaine,0.0007205670333599872
4,EstWeekend,0.0
4,EstFerie,0.0
4,EstRamadan,0.0
4,EstVacances,0.0
4,jour_semaine_sin,0.00016401416456662295
4,jour_semaine_cos,0.0
4,mois_sin,4.956746929731547e-05
4,mois_cos,0.0001176474402803283
4,liaison_frequence,0.0008534293938605719
4,liaison_cible_encodage_ventes,0.0001459280986683356
4,interaction_jour_liaison_ventes,0.00045517989972496803
4,lag_1_ventes,0.0
4,lag_7_ventes,0.0
4,lag_14_ventes,0.0
4,lag_30_ventes,0.0
4,lag_365_ventes,0.0
4,rolling_mean_7_ventes,0.0
4,rolling_mean_14_ventes,0.0
4,rolling_mean_30_ventes,0.00011493436677184715
4,rolling_std_7_ventes,0.0
4,rolling_std_14_ventes,0.0
4,rolling_std_30_ventes,0.0
5,LiaisonId_code,0.0
5,Annee,7.92226131238993e-06
5,Mois,0.0
5,JourSemaine,5.4630713547239975e-05
5,EstWeekend,0.0
5,EstFerie,0.0
5,EstRamadan,0.0
5,EstVacances,0.0
5,jour_semaine_sin,1.93475626095884e-05
5,jour_semaine_cos,0.0
5,mois_sin,6.228840632375914e-05
5,mois_cos,5.097299088328668e-05
5,liaison_frequence,0.0
5,liaison_cible_encodage_ventes,0.0
5,interaction_jour_liaison_ventes,3.457687333056972e-05
5,lag_1_ventes,0.0
5,lag_7_ventes,0.0
5,lag_14_ventes,0.0
5,lag_30_ventes,0.0
5,lag_365_ventes,0.0
5,rolling_mean_7_ventes,0.0
5,rolling_mean_14_ventes,8.087428905470533e-07
5,rolling_mean_30_ventes,0.0
5,rolling_std_7_ventes,0.0
5,rolling_std_14_ventes,0.0
5,rolling_std_30_ventes,0.0
