Annee,Mois,TauxControle
2023,11,0.0792662796225293
2023,12,0.08563409928031945
2024,1,0.06946910846042904
2024,2,0.046112840636177946
2024,3,0.048357959194693996
2024,4,0.05157936309931184
2024,5,0.05622634104420374
2024,6,0.05932839627285831
2024,7,0.0678299844387783
2024,8,0.07115884387604665
2024,9,0.05286623449491967
2024,10,0.033541177928646096
2024,11,0.06032184477235732
2024,12,0.03720800357299143
2025,1,0.05131941189795789
2025,2,184733468.34338108
2025,3,0.05281969317704039
2025,4,0.05284397410823285
2025,5,0.05194425954602638
2025,6,0.059285076116786635
2025,7,0.055662694520952044
2025,8,0.0608448260896986
2025,9,0.05756706384583201
2025,10,0.06261444743615306
