Feature,Importance
Mois,46.06291753949377
Annee,23.906664128770288
log_offset_circulations,10.453283121176588
NbCirculations,9.23393433452347
mois_cos,4.863843383067969
mois_sin,2.8536592142410258
liaison_cible_encodage_controles,0.6477621696505568
JourSemaine,0.46369740777575363
liaison_frequence,0.45783350336180145
lag_1_controles,0.396183677014492
interaction_jour_liaison_controles,0.1697100921947571
rolling_mean_7_controles,0.11130927472230585
rolling_std_7_controles,0.10474830590877833
lag_30_controles,0.05902593067608055
rolling_mean_30_controles,0.05797721684001322
rolling_std_30_circulations,0.04003143259403107
lag_30_circulations,0.03497499605274274
rolling_mean_30_circulations,0.023693455946536407
jour_semaine_cos,0.019173714711674793
rolling_mean_7_circulations,0.018222392117581976
lag_14_circulations,0.008692935774313022
jour_semaine_sin,0.003831193117067937
rolling_std_30_controles,0.0037026778907385334
LiaisonId,0.002371193840784218
lag_7_controles,0.0010898227376623924
rolling_std_14_circulations,0.0006473000566393367
lag_1_circulations,0.0005700630703753728
lag_365_circulations,0.00044952267222476283
EstWeekend,0.0
EstFerie,0.0
EstVacances,0.0
lag_365_controles,0.0
lag_14_controles,0.0
EstRamadan,0.0
lag_7_circulations,0.0
rolling_mean_14_controles,0.0
rolling_std_14_controles,0.0
rolling_mean_14_circulations,0.0
rolling_std_7_circulations,0.0
