Feature,ImportanceShap
Mois,3.005455530933442
log_offset_circulations,2.163202346895053
NbCirculations,1.9146792354114364
Annee,1.6468808284121002
liaison_frequence,0.9227442991671849
lag_1_controles,0.3685932021822876
liaison_cible_encodage_controles,0.36461629856641475
mois_sin,0.33410525651207595
JourSemaine,0.24225100864274673
interaction_jour_liaison_controles,0.18224681817795338
mois_cos,0.12791412858494458
rolling_std_7_controles,0.04608817730284557
rolling_mean_7_controles,0.03847280047067467
lag_30_controles,0.034205194573175765
rolling_mean_30_controles,0.023349454502150785
lag_30_circulations,0.023250953910206408
rolling_std_30_circulations,0.016413774266066973
rolling_mean_30_circulations,0.009596487950001127
rolling_mean_7_circulations,0.005412950845029957
rolling_std_30_controles,0.002503779971162832
LiaisonId,0.002072413008900167
lag_14_circulations,0.0008844076650607954
rolling_std_14_circulations,0.0005708048110613049
lag_1_circulations,0.0005089046977037258
jour_semaine_sin,0.0003314311079024638
jour_semaine_cos,0.0002592376326275318
lag_7_controles,0.00018963252826293125
lag_365_circulations,2.4952228068921822e-05
EstWeekend,0.0
EstFerie,0.0
EstVacances,0.0
lag_365_controles,0.0
lag_14_controles,0.0
EstRamadan,0.0
lag_7_circulations,0.0
rolling_mean_14_controles,0.0
rolling_std_14_controles,0.0
rolling_mean_14_circulations,0.0
rolling_std_7_circulations,0.0
