Feature,ImportanceShap
NbControles,0.019570602400392538
log_offset_controles,0.005453996282824551
interaction_jour_liaison_fraudes,0.005334378442393237
liaison_frequence,0.0047037430152966535
liaison_cible_encodage_fraudes,0.0011447510410890344
rolling_mean_7_controles,0.0005499372730630723
rolling_std_30_controles,0.00041958774972482873
rolling_std_14_controles,0.00029594551412295107
rolling_mean_30_controles,0.00024105997760468068
rolling_std_7_controles,0.0002092244012186186
LiaisonId,0.00019152392473408548
lag_1_controles,0.00017961325473996232
rolling_std_14_fraudes,0.00012561729444811448
mois_cos,0.00010605122138383118
lag_14_controles,0.00010151704609470474
lag_7_controles,0.0001007960610563212
lag_14_fraudes,0.00010076200454682201
JourSemaine,9.990731038206665e-05
rolling_std_30_fraudes,9.143499587058198e-05
jour_semaine_sin,7.622409044700533e-05
rolling_mean_14_controles,7.387169443779883e-05
Mois,7.358527227297113e-05
mois_sin,7.086232101876864e-05
jour_semaine_cos,6.804197552879844e-05
lag_30_controles,4.655271502068923e-05
rolling_mean_14_fraudes,4.0845560539055276e-05
rolling_mean_30_fraudes,3.7332265945883406e-05
lag_365_fraudes,2.397162064775773e-05
lag_365_controles,1.980699895679147e-05
rolling_std_7_fraudes,1.9144179558988214e-05
lag_30_fraudes,1.4320683376810547e-05
Annee,1.189178214484551e-05
lag_1_fraudes,1.1205359246987209e-05
lag_7_fraudes,1.1094787181839253e-05
rolling_mean_7_fraudes,5.060609897047736e-06
EstWeekend,2.3238912593821335e-06
EstRamadan,3.1293253144519094e-07
EstFerie,0.0
EstVacances,0.0
