LiaisonId,TypeTitre,liaison_frequence,liaison_cible_encodage_controles,interaction_jour_liaison_controles
100,B,146,20.49193,20.49193
100,C,146,20.49193,20.49193
101,B,412,20.49193,20.49193
101,C,412,20.49193,20.49193
102,B,161,20.49193,20.49193
102,C,161,20.49193,20.49193
103,B,367,20.49193,20.49193
103,C,367,20.49193,20.49193
10796,B,33,20.49193,20.49193
10796,C,33,20.49193,20.49193
10891,B,31,20.49193,20.49193
10891,C,31,20.49193,20.49193
11082,B,324,20.49193,20.49193
11082,C,324,20.49193,20.49193
12319,B,63,20.49193,20.49193
12319,C,63,20.49193,20.49193
12320,B,340,20.49193,20.49193
12320,C,340,20.49193,20.49193
12321,B,25,20.49193,20.49193
12321,C,25,20.49193,20.49193
12325,B,1192,20.49193,20.49193
12325,C,1192,20.49193,20.49193
12330,B,11,20.49193,20.49193
12330,C,11,20.49193,20.49193
12340,B,13,20.49193,20.49193
12340,C,13,20.49193,20.49193
12342,B,5,20.49193,20.49193
12344,B,11,20.49193,20.49193
12344,C,11,20.49193,20.49193
12346,B,41,20.49193,20.49193
12346,C,41,20.49193,20.49193
12401,B,2,20.49193,20.49193
12402,B,11,20.49193,20.49193
12402,C,11,20.49193,20.49193
12407,B,26,20.49193,20.49193
12407,C,26,20.49193,20.49193
12427,B,1,20.49193,20.49193
12487,B,2,20.49193,20.49193
12561,B,23,20.49193,20.49193
12561,C,23,20.49193,20.49193
12562,B,4,20.49193,20.49193
12566,B,74,20.49193,20.49193
12566,C,74,20.49193,20.49193
12586,B,2,20.49193,20.49193
12640,B,17,20.49193,20.49193
12640,C,17,20.49193,20.49193
12644,B,879,20.49193,20.49193
12644,C,879,20.49193,20.49193
12649,B,10,20.49193,20.49193
12659,B,10,20.49193,20.49193
12659,C,10,20.49193,20.49193
12661,B,6,20.49193,20.49193
12661,C,6,20.49193,20.49193
12663,B,12,20.49193,20.49193
12663,C,12,20.49193,20.49193
12665,B,25,20.49193,20.49193
12665,C,25,20.49193,20.49193
1267,B,18,20.49193,20.49193
1267,C,18,20.49193,20.49193
12722,B,17,20.49193,20.49193
12722,C,17,20.49193,20.49193
12737,B,1,20.49193,20.49193
12742,B,1,20.49193,20.49193
12798,B,1210,20.49193,20.49193
12798,C,1210,20.49193,20.49193
12803,B,751,20.49193,20.49193
12803,C,751,20.49193,20.49193
12813,B,812,20.49193,20.49193
12813,C,812,20.49193,20.49193
12815,B,4,20.49193,20.49193
12817,B,1159,20.49193,20.49193
12817,C,1159,20.49193,20.49193
12819,B,1442,20.49193,20.49193
12819,C,1442,20.49193,20.49193
12821,B,706,20.49193,20.49193
12821,C,706,20.49193,20.49193
12822,B,818,20.49193,20.49193
12822,C,818,20.49193,20.49193
12826,B,1111,20.49193,20.49193
12826,C,1111,20.49193,20.49193
12827,B,1206,20.49193,20.49193
12827,C,1206,20.49193,20.49193
12828,B,751,20.49193,20.49193
12828,C,751,20.49193,20.49193
12829,B,483,20.49193,20.49193
12829,C,483,20.49193,20.49193
12831,B,939,20.49193,20.49193
12831,C,939,20.49193,20.49193
12834,B,80,20.49193,20.49193
12834,C,80,20.49193,20.49193
12835,B,147,20.49193,20.49193
12835,C,147,20.49193,20.49193
12836,B,132,20.49193,20.49193
12836,C,132,20.49193,20.49193
12839,B,43,20.49193,20.49193
12839,C,43,20.49193,20.49193
12840,B,1,20.49193,20.49193
12841,B,51,20.49193,20.49193
12841,C,51,20.49193,20.49193
12843,B,34,20.49193,20.49193
12843,C,34,20.49193,20.49193
12844,B,26,20.49193,20.49193
12844,C,26,20.49193,20.49193
12845,B,160,20.49193,20.49193
12845,C,160,20.49193,20.49193
12846,B,150,20.49193,20.49193
12846,C,150,20.49193,20.49193
12847,B,519,20.49193,20.49193
12847,C,519,20.49193,20.49193
