Annee,Mois,TypeTitre,PartType
2023,11,B,0.19648904
2023,11,C,0.02696362
2023,12,B,0.23705536
2023,12,C,0.032538697
2024,1,B,0.19104603
2024,1,C,0.024564726
2024,2,B,0.10023378
2024,2,C,0.009426633
2024,3,B,0.10339599
2024,3,C,0.009899167
2024,4,B,0.11720966
2024,4,C,0.011905451
2024,5,B,0.12805735
2024,5,C,0.0128638465
2024,6,B,0.15179965
2024,6,C,0.017512823
2024,7,B,0.16053796
2024,7,C,0.01688806
2024,8,B,0.2138105
2024,8,C,0.026553808
2024,9,B,0.15438873
2024,9,C,0.019666452
2024,10,B,0.07642261
2024,10,C,0.007178725
2024,11,B,0.19625324
2024,11,C,0.025367396
2024,12,B,0.09489076
2024,12,C,0.009570606
2025,1,B,0.15825062
2025,1,C,0.018002078
2025,2,B,0.11509934
2025,2,C,0.017038336
2025,3,B,0.13578992
2025,3,C,0.0136200925
2025,4,B,0.15155615
2025,4,C,0.016685003
2025,5,B,0.13418938
2025,5,C,0.013551627
2025,6,B,0.19872952
2025,6,C,0.02364943
2025,7,B,0.15881823
2025,7,C,0.017061632
2025,8,B,0.18579161
2025,8,C,0.020500053
2025,9,B,0.1828635
2025,9,C,0.02108133
2025,10,B,0.21119264
2025,10,C,0.02495556
