TypeTitre,Feature,Importance
B,LiaisonId_code,65
B,Annee,245
B,Mois,446
B,JourSemaine,182
B,EstWeekend,13
B,EstFerie,0
B,EstRamadan,28
B,EstVacances,0
B,jour_semaine_sin,247
B,jour_semaine_cos,141
B,mois_sin,205
B,mois_cos,368
B,liaison_frequence,425
B,liaison_cible_encodage_controles,202
B,interaction_jour_liaison_controles,43
B,lag_1_controles,163
B,lag_7_controles,116
B,lag_14_controles,124
B,lag_30_controles,70
B,lag_365_controles,53
B,rolling_mean_7_controles,91
B,rolling_mean_14_controles,83
B,rolling_mean_30_controles,97
B,rolling_std_7_controles,35
B,rolling_std_14_controles,36
B,rolling_std_30_controles,56
C,LiaisonId_code,346
C,Annee,150
C,Mois,289
C,JourSemaine,136
C,EstWeekend,9
C,EstFerie,0
C,EstRamadan,14
C,EstVacances,0
C,jour_semaine_sin,139
C,jour_semaine_cos,147
C,mois_sin,141
C,mois_cos,195
C,liaison_frequence,496
C,liaison_cible_encodage_controles,274
C,interaction_jour_liaison_controles,63
C,lag_1_controles,96
C,lag_7_controles,22
C,lag_14_controles,31
C,lag_30_controles,9
C,lag_365_controles,9
C,rolling_mean_7_controles,37
C,rolling_mean_14_controles,29
C,rolling_mean_30_controles,52
C,rolling_std_7_controles,31
C,rolling_std_14_controles,29
C,rolling_std_30_controles,46
