Feature,ImportanceShap
liaison_cible_encodage_ventes,0.269921272091544
rolling_std_14_ventes,0.10439958844397056
NbCirculations,0.08912451643024402
interaction_jour_liaison_ventes,0.08310376793741331
rolling_std_30_ventes,0.037633189986019173
liaison_frequence,0.037148793688152486
rolling_std_7_ventes,0.034059062376169895
LiaisonId,0.03152902397137384
Annee,0.030482888741776293
log_offset_circulations,0.01987004085756846
lag_1_circulations,0.017758696480806697
mois_cos,0.01250281924533392
Mois,0.012396852345535895
lag_1_ventes,0.01211264816592285
rolling_std_30_circulations,0.009471345043176923
rolling_std_14_circulations,0.008825976040535552
rolling_mean_30_circulations,0.008156797246681712
JourSemaine,0.007945719420259031
mois_sin,0.005972555888520149
jour_semaine_sin,0.005732073698916953
rolling_mean_14_circulations,0.005472021875980965
rolling_std_7_circulations,0.004442265315907609
rolling_mean_7_circulations,0.004193778103855714
rolling_mean_30_ventes,0.003977107740894983
EstWeekend,0.003667242509786901
lag_365_circulations,0.003518352514857883
lag_30_ventes,0.0031122297832274818
lag_14_circulations,0.003023098689558011
rolling_mean_14_ventes,0.002881335252473767
lag_365_ventes,0.0025779404670228925
lag_7_ventes,0.0022728374438750125
jour_semaine_cos,0.002238485228528131
rolling_mean_7_ventes,0.0020175542778718657
lag_7_circulations,0.002013450167500698
lag_30_circulations,0.0018739467114590393
lag_14_ventes,0.0011938120158609664
EstRamadan,0.00039306847917712766
EstFerie,0.0
EstVacances,0.0
